Transaction_ID,Customer_ID,Transaction_Date,Product_Clean,Sum of Quantity,Sum of Price,Transaction_Type,Transaction_Status,Record_Status
T9390,C642,2025-02-30,Laptop,10,,Unknown,Complete,Valid
T93899,C1841,2024-03-08,Laptop,5,,Unknown,"",Valid
T93898,C2665,2024-02-05,Tablet,-5,-964.5706,Negative Transaction,Completed,Valid
T93897,C4022,2025-02-30,Tablet,-8,-885.1,Negative Transaction,Complete,Valid
T93896,C3240,2023-13-01,Coffee Machine,2,689.1884,Normal Transaction,Completed,Valid
T93895,C1554,2023-13-01,Headphones,,-368.5023,Unknown,Completed,Missing Quantity
T93894,C3972,2023-13-01,Coffee Machine,-2,,Unknown,Completed,Valid
T93893,C3563,2020-12-17,Coffee Machine,3,489.4985,Normal Transaction,Pending,Valid
T93892,C391,2025-02-30,Headphones,322,,Unknown,Completed,Valid
T93891,C4809,2023-13-01,Laptop,424,-596.0194,Negative Transaction,Failed,Valid
T93890,C047,2020-09-27,Laptop,903,,Unknown,Completed,Valid
T9389,C4669,2024-01-06,Smartphone,726,723.8051,Normal Transaction,Completed,Valid
T93889,C491,2022-01-21,Tablet,8,-664.3607,Negative Transaction,Failed,Valid
T93888,C3778,2025-02-30,Tablet,538,-943.5431,Negative Transaction,Completed,Valid
T93887,C2564,"",Coffee Machine,456,-535.2575,Negative Transaction,Completed,Valid
T93886,C1368,2025-02-30,Coffee Machine,-9,,Unknown,Complete,Valid
T93885,C3233,2023-13-01,Coffee Machine,-1,999.6291,Negative Transaction,Failed,Valid
T93884,"",2023-13-01,Coffee Machine,-9,,Unknown,Complete,Valid
T93883,C2749,2025-02-30,Coffee Machine,-2,362.5293,Negative Transaction,Complete,Valid
T93882,C4416,2023-13-01,Smartphone,-1,,Unknown,Failed,Valid
T93881,C433,2024-12-16,Tablet,9,,Unknown,Complete,Valid
T93880,C2824,2023-13-01,Laptop,-3,,Unknown,Failed,Valid
T9388,C4728,2025-02-30,Tablet,537,,Unknown,Complete,Valid
T93879,C1237,2023-13-01,Coffee Machine,-8,-915.373,Negative Transaction,Pending,Valid
T93878,C081,2025-02-30,Headphones,,229.9502,Unknown,Complete,Missing Quantity
T93877,C4535,2020-12-26,Coffee Machine,370,547.9357,Normal Transaction,Completed,Valid
T93876,C503,2023-13-01,Tablet,7,505.209,Normal Transaction,Completed,Valid
T93875,C998,2023-07-25,Tablet,637,,Unknown,Failed,Valid
T93874,C1477,2025-02-30,Smartphone,-3,440.1536,Negative Transaction,Complete,Valid
T93873,C3546,2023-13-01,Headphones,923,290.7078,Normal Transaction,Pending,Valid
T93871,C3161,2025-02-30,Laptop,178,825.3896,Normal Transaction,Pending,Valid
T93870,C045,2021-12-24,Tablet,312,,Unknown,Failed,Valid
T9387,C2472,2025-02-30,Tablet,7,,Unknown,Pending,Valid
T93869,C1582,2025-02-30,Coffee Machine,,957.6342,Unknown,Failed,Missing Quantity
T93868,C3659,2023-13-01,Laptop,137,-834.2669,Negative Transaction,Pending,Valid
T93867,C1109,2025-02-30,Tablet,10,867.3015,Normal Transaction,Complete,Valid
T93866,C528,2023-13-01,Smartphone,1,,Unknown,Complete,Valid
T93865,C1721,2025-02-30,Smartphone,4,,Unknown,"",Valid
T93864,C1662,2023-13-01,Headphones,,-626.9208,Unknown,Failed,Missing Quantity
T93863,C4915,2025-02-30,Laptop,-1,486.1233,Negative Transaction,"",Valid
T93862,C4347,2025-02-30,Coffee Machine,-10,,Unknown,"",Valid
T93861,C4475,"",Coffee Machine,522,955.8906,Normal Transaction,Pending,Valid
T93860,C2878,2025-02-30,Coffee Machine,973,,Unknown,"",Valid
T9386,"",2023-13-01,Laptop,320,,Unknown,Complete,Valid
T93859,C4541,2023-13-01,Coffee Machine,4,-963.1281,Negative Transaction,"",Valid
T93858,C4707,2023-01-01,Tablet,497,,Unknown,Pending,Valid
T93857,C742,2025-02-30,Laptop,-3,689.4315,Negative Transaction,Completed,Valid
T93856,C3642,2023-13-01,Tablet,3,-809.3598,Negative Transaction,Completed,Valid
T93855,C3747,2023-02-14,Headphones,3,291.4437,Normal Transaction,Completed,Valid
T93854,C2478,2023-13-01,Tablet,5,-542.2542,Negative Transaction,Completed,Valid
T93853,C150,2025-02-30,Tablet,493,716.4829,Normal Transaction,Completed,Valid
T93852,C614,2023-06-09,Coffee Machine,-8,819.7298,Negative Transaction,Complete,Valid
T93851,C4061,2025-02-30,Headphones,9,226.3224,Normal Transaction,Completed,Valid
T93850,C4524,2023-13-01,Laptop,-7,-456.9492,Negative Transaction,Completed,Valid
T9385,C2698,2025-02-30,Coffee Machine,1,232.5663,Normal Transaction,Complete,Valid
T93849,C797,2025-02-30,Tablet,2,-416.4849,Negative Transaction,"",Valid
T93848,C2436,2023-13-01,Laptop,4,-482.9751,Negative Transaction,Failed,Valid
T93847,C2614,2020-08-06,Smartphone,-5,,Unknown,"",Valid
T93846,C2718,2023-13-01,Tablet,760,,Unknown,"",Valid
T93844,C4441,2025-02-30,Coffee Machine,969,,Unknown,"",Valid
T93843,C4366,"",Tablet,9,91.2568,Normal Transaction,Completed,Valid
T93842,C3183,2023-13-01,Tablet,-2,,Unknown,Completed,Valid
T93841,C4743,2023-13-01,Laptop,4,,Unknown,Completed,Valid
T93840,C4342,2023-05-23,Laptop,-4,-345.328,Negative Transaction,Failed,Valid
T9384,C1739,2021-09-24,Coffee Machine,6,,Unknown,Completed,Valid
T93838,C4882,2025-02-30,Laptop,1,493.03,Normal Transaction,Failed,Valid
T93837,C3104,2025-02-30,Smartphone,782,405.3666,Normal Transaction,Completed,Valid
T93836,C4339,2023-08-14,Headphones,9,676.5387,Normal Transaction,Complete,Valid
T93835,"",2020-05-09,Smartphone,4,916.3274,Normal Transaction,Failed,Valid
T93834,C3345,2025-02-30,Smartphone,,-320.1249,Unknown,"",Missing Quantity
T93833,C4699,2023-13-01,Smartphone,-9,903.8235,Negative Transaction,"",Valid
T93832,C202,2025-02-30,Laptop,9,,Unknown,Failed,Valid
T93831,C2900,2025-02-30,Laptop,-1,-765.3733,Negative Transaction,Completed,Valid
T93830,C3029,2023-13-01,Laptop,143,,Unknown,Pending,Valid
T9383,C4372,2023-13-01,Laptop,736,-264.79,Negative Transaction,Completed,Valid
T93829,C1223,2021-04-05,Laptop,,599.5294,Unknown,Complete,Missing Quantity
T93828,C761,2023-13-01,Headphones,-1,-757.3256,Negative Transaction,Pending,Valid
T93827,C4623,2023-13-01,Tablet,4,402.1808,Normal Transaction,Failed,Valid
T93826,C2323,2023-13-01,Tablet,715,-65.4728,Negative Transaction,Completed,Valid
T93825,C4851,2023-13-01,Coffee Machine,-3,,Unknown,Complete,Valid
T93824,C038,2025-02-30,Tablet,-8,,Unknown,Pending,Valid
T93823,C989,2025-02-30,Headphones,7,,Unknown,Complete,Valid
T93822,C3040,2023-13-01,Laptop,219,735.1126,Normal Transaction,Completed,Valid
T93821,C3566,2023-04-20,Tablet,-1,-73.35,Negative Transaction,Complete,Valid
T93820,C1439,2023-13-01,Smartphone,730,-68.3995,Negative Transaction,Completed,Valid
T9382,C615,2023-13-01,Coffee Machine,-3,979.0524,Negative Transaction,"",Valid
T93819,C1848,2025-02-30,Headphones,5,756.5645,Normal Transaction,"",Valid
T93818,C2840,2021-09-19,Coffee Machine,-4,,Unknown,Completed,Valid
T93817,C3225,2023-02-07,Smartphone,8,660.3962,Normal Transaction,Complete,Valid
T93816,C4357,2025-02-30,Coffee Machine,720,297.3696,Normal Transaction,Completed,Valid
T93815,C4702,2023-13-01,Headphones,481,-827.7723,Negative Transaction,Completed,Valid
T93814,"",2023-06-15,Smartphone,-10,-698.6924,Negative Transaction,Complete,Valid
T93813,C2019,2024-10-06,Tablet,7,-948.0964,Negative Transaction,Pending,Valid
T93812,C3131,2025-02-30,Tablet,10,-964.7046,Negative Transaction,Completed,Valid
T93811,C225,"",Tablet,171,,Unknown,Complete,Valid
T93810,C3687,2023-04-08,Laptop,7,-533.3569,Negative Transaction,Completed,Valid
T9381,C3418,2023-13-01,Headphones,277,-864.4014,Negative Transaction,Complete,Valid
T93809,C2966,2023-13-01,Laptop,-4,605.3601,Negative Transaction,Failed,Valid
T93808,C282,2023-13-01,Tablet,159,989.1565,Normal Transaction,Completed,Valid
T93807,C3069,2023-09-15,Laptop,-3,,Unknown,Completed,Valid
T93805,C742,"",Laptop,-7,972.6533,Negative Transaction,Failed,Valid
T93804,C2885,2025-02-30,Headphones,242,,Unknown,Pending,Valid
T93803,C1860,"",Smartphone,9,201.3286,Normal Transaction,"",Valid
T93802,C1767,2025-02-30,Tablet,-4,,Unknown,"",Valid
T93801,C2062,2023-09-07,Smartphone,416,138.2073,Normal Transaction,Complete,Valid
T9380,C4490,2023-13-01,Laptop,9,,Unknown,Completed,Valid
T93799,C2074,2024-04-02,Headphones,254,-179.5722,Negative Transaction,Complete,Valid
T93798,C2225,2022-08-24,Headphones,-1,-574.9073,Negative Transaction,Failed,Valid
T93797,C583,2023-13-01,Laptop,-9,160.75,Negative Transaction,Pending,Valid
T93796,C334,2023-13-01,Headphones,-6,,Unknown,Completed,Valid
T93795,C336,2025-02-30,Coffee Machine,2,,Unknown,"",Valid
T93794,C3963,2023-13-01,Coffee Machine,9,546.574,Normal Transaction,Complete,Valid
T93793,C1465,2023-09-19,Tablet,-4,,Unknown,"",Valid
T93792,C2210,2021-01-30,Tablet,,948.3105,Unknown,"",Missing Quantity
T93791,C4341,2022-09-17,Headphones,840,835.6517,Normal Transaction,Completed,Valid
T93790,C1449,2023-13-01,Headphones,-6,,Unknown,Complete,Valid
T9379,C055,2023-13-01,Headphones,928,-338.8359,Negative Transaction,"",Valid
T93789,C536,2025-02-30,Headphones,2,,Unknown,Failed,Valid
T93788,C1710,2025-02-30,Smartphone,7,212.3147,Normal Transaction,Completed,Valid
T93787,C3577,2023-13-01,Coffee Machine,-1,,Unknown,Completed,Valid
T93786,C853,2020-07-26,Laptop,-10,,Unknown,Failed,Valid
T93783,C3950,2025-02-30,Laptop,-4,-351.9242,Negative Transaction,Failed,Valid
T93781,C3232,"",Coffee Machine,897,,Unknown,Pending,Valid
T93780,C4314,2025-02-30,Laptop,-2,-314.7793,Negative Transaction,Failed,Valid
T9378,C1042,2023-13-01,Headphones,447,,Unknown,Completed,Valid
T93779,C029,2025-02-30,Coffee Machine,6,-623.52,Negative Transaction,Complete,Valid
T93778,C2392,2020-06-29,Coffee Machine,280,177.5267,Normal Transaction,Completed,Valid
T93777,C2741,2024-11-07,Smartphone,748,-807.11,Negative Transaction,Failed,Valid
T93776,C2860,2023-13-01,Coffee Machine,410,,Unknown,Failed,Valid
T93775,C3881,2025-02-30,Headphones,1,-73.4635,Negative Transaction,Complete,Valid
T93774,C2743,2024-10-13,Coffee Machine,-1,-738.1539,Negative Transaction,Completed,Valid
T93773,C2362,2024-05-28,Headphones,659,,Unknown,Failed,Valid
T93772,C3347,2023-13-01,Tablet,-5,,Unknown,Failed,Valid
T93771,C618,2024-09-18,Laptop,621,,Unknown,Completed,Valid
T93770,C3439,2023-13-01,Tablet,7,,Unknown,Failed,Valid
T9377,C1341,2025-02-30,Laptop,-1,-977.022,Negative Transaction,Failed,Valid
T93769,"",2023-13-01,Smartphone,-8,611.0561,Negative Transaction,"",Valid
T93767,C1193,2023-13-01,Tablet,575,-447.1151,Negative Transaction,Pending,Valid
T93766,"","",Tablet,2,-691.6836,Negative Transaction,Complete,Valid
T93765,C537,2025-02-30,Laptop,7,,Unknown,Failed,Valid
T93764,C496,2023-13-01,Smartphone,1,-328.1042,Negative Transaction,Complete,Valid
T93763,C2768,2023-13-01,Laptop,5,,Unknown,Complete,Valid
T93761,C4222,2025-02-30,Tablet,-1,,Unknown,"",Valid
T93760,C1523,2021-08-04,Tablet,-5,,Unknown,Completed,Valid
T9376,C1501,2023-13-01,Laptop,308,151.7061,Normal Transaction,Failed,Valid
T93759,"",2020-12-07,Smartphone,809,334.0443,Normal Transaction,Pending,Valid
T93758,C2149,2025-02-30,Tablet,,-454.4775,Unknown,"",Missing Quantity
T93757,C3988,2022-07-18,Tablet,-3,-474.6116,Negative Transaction,"",Valid
T93756,C2263,2023-13-01,Headphones,2,399.4747,Normal Transaction,Complete,Valid
T93755,C2448,2022-02-26,Tablet,,-695.5374,Unknown,Pending,Missing Quantity
T93754,C625,2025-02-30,Laptop,-1,-110.1797,Negative Transaction,Completed,Valid
T93753,C3166,2023-13-01,Tablet,-6,,Unknown,"",Valid
T93752,C3253,2023-13-01,Laptop,113,-577.9789,Negative Transaction,Completed,Valid
T93751,"",2025-02-30,Laptop,646,,Unknown,Complete,Valid
T93750,C3945,2025-02-30,Headphones,7,,Unknown,Complete,Valid
T9375,C2528,2023-08-28,Smartphone,192,273.0896,Normal Transaction,Failed,Valid
T93749,C2308,2020-12-15,Laptop,-4,,Unknown,Complete,Valid
T93747,C1959,2024-09-10,Laptop,7,232.9785,Normal Transaction,Completed,Valid
T93744,C3416,2024-03-16,Laptop,785,,Unknown,Pending,Valid
T93743,C3665,2025-02-30,Coffee Machine,1,,Unknown,Failed,Valid
T93741,C310,2024-10-10,Tablet,245,-318.0289,Negative Transaction,Failed,Valid
T93740,C212,2022-01-05,Headphones,426,,Unknown,"",Valid
T9374,C3727,2025-02-30,Coffee Machine,4,462.0648,Normal Transaction,Completed,Valid
T93739,C1958,2024-10-18,Coffee Machine,-8,-692.1084,Negative Transaction,Pending,Valid
T93738,C299,2025-02-30,Laptop,468,788.9242,Normal Transaction,"",Valid
T93737,C2319,"",Smartphone,738,155.2799,Normal Transaction,Failed,Valid
T93736,C229,2024-08-18,Coffee Machine,-3,-97.9547,Negative Transaction,Completed,Valid
T93735,C1498,2025-02-30,Headphones,7,-360.4506,Negative Transaction,Failed,Valid
T93734,C1754,2022-10-21,Laptop,9,528.4368,Normal Transaction,Complete,Valid
T93732,C3406,2023-13-01,Laptop,5,590.1193,Normal Transaction,"",Valid
T93731,"",2021-05-09,Smartphone,-7,,Unknown,Complete,Valid
T9373,C846,2025-02-30,Tablet,565,,Unknown,Completed,Valid
T93729,C4712,2025-02-30,Tablet,8,1970.465,Normal Transaction,Failed,Valid
T93728,C3527,2022-01-21,Coffee Machine,6,,Unknown,Complete,Valid
T93727,C1141,2023-13-01,Tablet,-3,993.7158,Negative Transaction,Complete,Valid
T93726,C4752,2023-13-01,Smartphone,461,,Unknown,Pending,Valid
T93725,C4270,2022-02-01,Coffee Machine,-10,-582.4476,Negative Transaction,Complete,Valid
T93724,C3070,2025-02-30,Smartphone,756,-978.0835,Negative Transaction,Completed,Valid
T93723,C269,2023-13-01,Coffee Machine,-8,281.6325,Negative Transaction,Pending,Valid
T93722,C4084,2025-02-30,Tablet,3,-60.8733,Negative Transaction,Complete,Valid
T93721,C3711,2023-13-01,Headphones,-2,-625.5531,Negative Transaction,Completed,Valid
T93720,C570,2021-05-29,Smartphone,2,-483.7588,Negative Transaction,Completed,Valid
T9372,C2254,2024-02-13,Smartphone,7,,Unknown,Completed,Valid
T93718,C2153,2024-10-19,Tablet,8,-349.6017,Negative Transaction,Complete,Valid
T93715,C3297,2023-13-01,Headphones,4,,Unknown,Completed,Valid
T93714,C3117,2025-02-30,Smartphone,4,,Unknown,Complete,Valid
T93713,C1486,2025-02-30,Headphones,649,617.184,Normal Transaction,"",Valid
T93712,C2077,2025-02-30,Headphones,7,-656.4941,Negative Transaction,"",Valid
T93711,C121,2025-02-30,Tablet,5,-804.4669,Negative Transaction,Completed,Valid
T93710,C1727,2023-05-14,Laptop,-7,-264.3281,Negative Transaction,Complete,Valid
T9371,C1040,2023-13-01,Coffee Machine,-3,747.9428,Negative Transaction,Failed,Valid
T93708,"",2025-02-30,Smartphone,,-253.3204,Unknown,"",Missing Quantity
T93707,C3173,2023-07-04,Smartphone,-5,,Unknown,Complete,Valid
T93706,C2287,2025-02-30,Laptop,188,,Unknown,Pending,Valid
T93705,"",2023-13-01,Headphones,1,-920.2086,Negative Transaction,Pending,Valid
T93704,C618,2025-02-30,Headphones,755,-64.1864,Negative Transaction,Pending,Valid
T93703,C1336,2025-01-14,Laptop,-10,814.6799,Negative Transaction,Failed,Valid
T93702,C4076,2024-06-21,Tablet,520,,Unknown,Completed,Valid
T93701,C2248,2024-05-04,Coffee Machine,-1,-580.4205,Negative Transaction,Pending,Valid
T93700,C4924,2023-13-01,Tablet,-2,,Unknown,Complete,Valid
T9370,C930,2025-02-30,Smartphone,3,,Unknown,Pending,Valid
T93699,C1779,2025-02-30,Tablet,852,,Unknown,Pending,Valid
T93698,C428,2023-13-01,Tablet,6,707.4371,Normal Transaction,Failed,Valid
T93697,C2693,2023-13-01,Coffee Machine,1,-736.2927,Negative Transaction,Pending,Valid
T93696,C3449,2023-13-01,Smartphone,540,-710.3625,Negative Transaction,Pending,Valid
T93695,C2662,2025-02-30,Coffee Machine,-6,,Unknown,Pending,Valid
T93694,C2225,2025-02-30,Smartphone,775,-721.9215,Negative Transaction,Failed,Valid
T93693,C680,2025-02-30,Smartphone,853,660.2684,Normal Transaction,Pending,Valid
T93692,C2981,2023-13-01,Coffee Machine,-3,-254.49,Negative Transaction,Failed,Valid
T93691,C849,2022-06-08,Smartphone,647,-929.2705,Negative Transaction,Pending,Valid
T93690,C2542,2024-04-12,Tablet,2,,Unknown,Failed,Valid
T9369,C2136,2023-13-01,Smartphone,880,-918.191,Negative Transaction,Completed,Valid
T93689,C1510,"",Tablet,2,767.9184,Normal Transaction,Completed,Valid
T93688,C3464,2025-02-30,Laptop,3,-609.7294,Negative Transaction,Failed,Valid
T93687,C4594,2023-13-01,Tablet,712,,Unknown,Complete,Valid
T93686,C2965,2021-09-29,Coffee Machine,6,,Unknown,Completed,Valid
T93685,C2435,2020-01-13,Tablet,-10,,Unknown,Completed,Valid
T93684,C009,2024-11-02,Laptop,788,579.3506,Normal Transaction,Completed,Valid
T93683,C2084,2023-13-01,Coffee Machine,481,,Unknown,Complete,Valid
T93682,C4130,"",Smartphone,1,-629.6356,Negative Transaction,Completed,Valid
T93681,C3566,2023-06-23,Laptop,-9,,Unknown,Completed,Valid
T93680,C3678,2024-06-04,Laptop,4,,Unknown,Completed,Valid
T9368,C1887,2023-13-01,Coffee Machine,-4,,Unknown,"",Valid
T93679,C1907,2021-09-28,Headphones,103,-259.8996,Negative Transaction,Complete,Valid
T93678,C4491,2023-13-01,Laptop,788,-189.3648,Negative Transaction,Complete,Valid
T93677,C1835,2025-02-30,Coffee Machine,-3,,Unknown,Failed,Valid
T93676,C1859,2025-02-30,Smartphone,7,-313.5478,Negative Transaction,"",Valid
T93675,C4690,2025-02-30,Coffee Machine,-1,-182.5959,Negative Transaction,Pending,Valid
T93674,C2064,2020-02-27,Smartphone,4,909.1897,Normal Transaction,Failed,Valid
T93673,C3024,2023-13-01,Coffee Machine,-10,-653.8856,Negative Transaction,Completed,Valid
T93672,C365,2025-02-30,Coffee Machine,222,,Unknown,Completed,Valid
T93671,C4271,2025-02-30,Headphones,8,765.7227,Normal Transaction,Failed,Valid
T93670,C2649,2025-02-30,Headphones,-8,-93.565,Negative Transaction,Completed,Valid
T9367,C279,2025-02-30,Laptop,10,,Unknown,Complete,Valid
T93669,C1156,2020-06-25,Coffee Machine,-4,,Unknown,Complete,Valid
T93668,C1575,2023-13-01,Coffee Machine,-2,930.0112,Negative Transaction,"",Valid
T93667,C1034,2025-02-30,Headphones,596,70.7912,Normal Transaction,Failed,Valid
T93666,C947,2020-10-14,Tablet,387,-371.7393,Negative Transaction,Complete,Valid
T93665,C4932,"",Laptop,150,424.1086,Normal Transaction,Completed,Valid
T93664,C344,2023-13-01,Laptop,364,445.7853,Normal Transaction,Complete,Valid
T93663,C2991,2023-09-22,Laptop,4,927.1067,Normal Transaction,"",Valid
T93662,C4985,2025-02-30,Laptop,7,369.2523,Normal Transaction,Complete,Valid
T93661,C4569,2023-13-01,Headphones,-5,-521.5223,Negative Transaction,Complete,Valid
T93660,C1544,2025-02-30,Tablet,404,115.13,Normal Transaction,Completed,Valid
T9366,C3886,2020-04-23,Laptop,-4,,Unknown,"",Valid
T93659,C944,2022-04-19,Laptop,304,585.5077,Normal Transaction,Completed,Valid
T93658,C3318,2023-13-01,Smartphone,2,377.79,Normal Transaction,Pending,Valid
T93657,C3858,2023-13-01,Headphones,792,-456.9702,Negative Transaction,Failed,Valid
T93656,C2700,2023-13-01,Coffee Machine,-9,290.5527,Negative Transaction,Failed,Valid
T93654,C1158,2025-02-30,Tablet,-4,189.6431,Negative Transaction,Failed,Valid
T93653,C3351,2025-02-30,Laptop,607,-406.859,Negative Transaction,Pending,Valid
T93652,C607,2023-04-17,Tablet,-1,-291.7403,Negative Transaction,Completed,Valid
T93651,C3688,2025-02-30,Smartphone,10,-386.316,Negative Transaction,Completed,Valid
T93650,C2106,2023-08-23,Coffee Machine,7,-433.3472,Negative Transaction,Complete,Valid
T9365,C2797,2023-13-01,Laptop,556,-524.4832,Negative Transaction,"",Valid
T93649,C3074,2025-02-30,Smartphone,965,,Unknown,Completed,Valid
T93648,C4612,2023-05-17,Tablet,354,984.5109,Normal Transaction,Complete,Valid
T93647,C2165,2025-02-30,Tablet,871,,Unknown,Complete,Valid
T93646,C2891,2025-02-30,Laptop,227,-110.7861,Negative Transaction,Pending,Valid
T93645,C1911,2025-02-30,Smartphone,3,-541.2151,Negative Transaction,Complete,Valid
T93644,"",2025-02-30,Tablet,8,-839.0958,Negative Transaction,"",Valid
T93643,C459,2023-13-01,Tablet,-4,,Unknown,Completed,Valid
T93642,C835,2025-02-30,Tablet,111,,Unknown,Failed,Valid
T93641,C876,2023-13-01,Tablet,856,-151.04,Negative Transaction,Failed,Valid
T93640,C1387,2025-02-30,Laptop,943,,Unknown,Pending,Valid
T9364,C446,2024-09-10,Tablet,162,-129.5806,Negative Transaction,Complete,Valid
T93639,C2064,2021-08-26,Headphones,,-946.0782,Unknown,Failed,Missing Quantity
T93638,C2679,2023-13-01,Smartphone,-5,799.6424,Negative Transaction,Completed,Valid
T93637,C783,2023-13-01,Laptop,-9,,Unknown,Failed,Valid
T93636,C1579,2023-13-01,Smartphone,942,,Unknown,Completed,Valid
T93635,C1541,2020-07-27,Laptop,130,974.58,Normal Transaction,Complete,Valid
T93634,C3515,2020-04-25,Tablet,10,-188.3812,Negative Transaction,Completed,Valid
T93633,C2192,2025-02-30,Smartphone,7,-702.2302,Negative Transaction,Failed,Valid
T93632,C643,2025-02-30,Headphones,4,,Unknown,Pending,Valid
T93631,C1394,2025-02-30,Laptop,2,-71.19,Negative Transaction,Complete,Valid
T93630,C1687,2024-12-13,Headphones,7,-839.2321,Negative Transaction,Failed,Valid
T9363,C4772,2020-07-03,Tablet,-4,-898.2584,Negative Transaction,"",Valid
T93629,C2700,2023-13-01,Smartphone,540,,Unknown,Failed,Valid
T93628,C1673,2025-02-30,Coffee Machine,782,651.0757,Normal Transaction,Failed,Valid
T93627,C1797,2025-02-30,Coffee Machine,444,-674.866,Negative Transaction,Pending,Valid
T93626,C2624,2023-13-01,Headphones,365,-472.9032,Negative Transaction,Pending,Valid
T93625,C713,2022-04-27,Headphones,-1,837.331,Negative Transaction,Complete,Valid
T93624,C4270,2023-13-01,Tablet,10,,Unknown,Failed,Valid
T93623,C2388,2023-01-26,Headphones,585,,Unknown,Pending,Valid
T93621,C2785,2025-02-30,Laptop,9,389.1181,Normal Transaction,Complete,Valid
T93620,C3836,2025-02-30,Smartphone,2,,Unknown,Completed,Valid
T9362,"",2025-02-30,Headphones,-7,-80.66,Negative Transaction,"",Valid
T93619,C2170,2025-02-30,Tablet,-9,,Unknown,Complete,Valid
T93618,C1863,2023-13-01,Tablet,515,314.5091,Normal Transaction,Complete,Valid
T93617,C1852,2023-13-01,Laptop,6,653.2017,Normal Transaction,Failed,Valid
T93616,C631,2025-02-30,Laptop,1,,Unknown,Pending,Valid
T93615,C1305,2023-13-01,Laptop,2,-79.7377,Negative Transaction,Completed,Valid
T93614,C2012,2020-10-14,Headphones,-10,,Unknown,Failed,Valid
T93613,C2040,2023-10-16,Headphones,6,-540.4898,Negative Transaction,Pending,Valid
T93612,C2280,2025-02-30,Tablet,,-239.7017,Unknown,"",Missing Quantity
T93611,C135,2023-13-01,Tablet,854,,Unknown,Failed,Valid
T9361,C151,2025-02-30,Tablet,9,,Unknown,"",Valid
T93609,C2693,2023-13-01,Coffee Machine,,-934.1382,Unknown,Complete,Missing Quantity
T93608,C4650,2025-01-25,Tablet,3,-278.3823,Negative Transaction,Complete,Valid
T93607,C4507,2025-02-30,Coffee Machine,-7,,Unknown,Failed,Valid
T93606,C2418,2025-02-30,Tablet,740,-910.9686,Negative Transaction,"",Valid
T93604,"",2023-13-01,Laptop,-6,-188.4751,Negative Transaction,Completed,Valid
T93603,C605,2021-09-06,Smartphone,-1,448.5531,Negative Transaction,Failed,Valid
T93602,C3685,"",Coffee Machine,-4,,Unknown,Complete,Valid
T93601,C1585,2025-02-30,Coffee Machine,-6,-871.6114,Negative Transaction,Completed,Valid
T93600,C829,2023-13-01,Tablet,-7,833.063,Negative Transaction,"",Valid
T93599,C2889,2025-02-30,Headphones,240,472.96,Normal Transaction,Complete,Valid
T93598,C1555,2024-12-03,Coffee Machine,137,-928.2391,Negative Transaction,Completed,Valid
T93597,"",2023-13-01,Tablet,8,-587.6561,Negative Transaction,Failed,Valid
T93596,C2672,2022-05-04,Headphones,-2,-537.4151,Negative Transaction,"",Valid
T93595,C3033,2025-02-30,Tablet,776,,Unknown,Completed,Valid
T93594,C1725,2025-02-30,Coffee Machine,9,-383.9523,Negative Transaction,Complete,Valid
T93593,C2633,2025-02-30,Tablet,9,-109.492,Negative Transaction,Completed,Valid
T93592,C1264,2025-02-30,Laptop,-9,,Unknown,Completed,Valid
T93591,C2909,2021-02-22,Smartphone,,171.52,Unknown,"",Missing Quantity
T93590,C1948,"",Headphones,-2,745.1846,Negative Transaction,Completed,Valid
T9359,C1748,2024-02-28,Smartphone,249,,Unknown,"",Valid
T93589,C4604,2023-13-01,Headphones,2,121.6924,Normal Transaction,Failed,Valid
T93588,C079,2025-02-30,Headphones,965,,Unknown,Complete,Valid
T93587,C2045,2025-02-30,Tablet,-3,-56.403,Negative Transaction,Completed,Valid
T93586,"",2023-13-01,Headphones,-7,877.8032,Negative Transaction,"",Valid
T93585,C3848,2023-13-01,Laptop,-7,-314.1969,Negative Transaction,"",Valid
T93584,C3059,2025-02-30,Headphones,-3,-114.1997,Negative Transaction,Pending,Valid
T93583,C3802,2023-13-01,Coffee Machine,-1,57.3647,Negative Transaction,Completed,Valid
T93581,C4288,2025-02-30,Smartphone,-7,,Unknown,Complete,Valid
T93580,C3348,"",Coffee Machine,1,966.1278,Normal Transaction,Completed,Valid
T9358,C1290,2025-02-30,Tablet,1,387.41,Normal Transaction,Failed,Valid
T93579,C2693,2022-01-10,Coffee Machine,1,,Unknown,Complete,Valid
T93578,C4094,2023-13-01,Coffee Machine,5,287.8342,Normal Transaction,Pending,Valid
T93577,C1206,2024-09-07,Coffee Machine,10,551.1296,Normal Transaction,Complete,Valid
T93576,C3873,2025-02-30,Smartphone,-3,225.11,Negative Transaction,"",Valid
T93575,C4758,2021-03-07,Headphones,136,-95.2259,Negative Transaction,Failed,Valid
T93574,C1105,2023-13-01,Smartphone,9,480.4456,Normal Transaction,Complete,Valid
T93573,C1761,"",Coffee Machine,145,702.9772,Normal Transaction,Failed,Valid
T93572,C1862,2020-09-20,Headphones,7,-224.76,Negative Transaction,"",Valid
T93571,C037,2025-02-30,Tablet,5,-434.9937,Negative Transaction,"",Valid
T93570,C2849,2025-02-30,Headphones,419,,Unknown,"",Valid
T9357,C3438,2023-13-01,Laptop,1,-625.0184,Negative Transaction,Completed,Valid
